Words,Frequency
international,4
connections,1
maintaining,1
prosperity,1
continuity,1
trade,6
goods,1
already,1
recovered,1
three,1
quarters,1
initial,1
decline,1
digital,2
information,1
have,2
surged,1
person,1
contact,1
went,1
into,3
online,2
world,1
boosted,1
internet,1
traffic,1
phone,1
calls,1
explains,1
significant,1
notes,1
turned,1
lifeline,1
economies,1
healthcare,1
difficult,1
times,1
at,3
we,9
ve,2
redesign,1
our,10
when,3
lockdowns,1
grounded,1
commercial,1
flights,1
find,1
new,3
routes,1
solutions,2
borders,1
were,2
closed,1
companies,2
swung,1
back,1
action,1
after,1
forced,1
plant,1
closures,1
did,1
could,2
they,1
stocked,1
restart,1
production,1
despite,1
export,2
bans,1
early,1
products,1
used,1
fight,1
boomed,1
such,1
trend,1
likely,1
continue,4
rollout,1
vaccines,1
makes,1
me,1
confident,1
expect,1
bright,1
future,2
coming,1
years,1
see,3
changes,1
course,1
among,1
other,5
things,1
might,1
less,1
travel,1
much,1
but,1
isn,1
t,1
going,1
away,1
i,1
like,1
say,2
too,1
big,1
fail,1
want,1
commenting,1
operations,1
malaysia,5
following,1
sees,1
potential,3
recovery,1
country,4
s,3
nations,1
given,1
closely,1
tied,1
reinvigoration,1
connection,1
together,1
rise,1
regional,1
networks,1
stand,1
quickly,1
recover,1
starting,1
oriented,1
manufacturing,1
sector,2
strong,1
contributor,1
gdp,1
gross,1
domestic,1
product,2
21,1
46,1
total,1
suffice,1
very,1
important,1
invest,2
infrastructure,2
strengthening,1
footprint,1
support,1
many,2
local,1
smes,1
small,1
medium,1
enterprises,1
looking,1
reach,1
globally,1
check,1
commission,2
ssm,1
shows,1
m,1
sdn,1
bhd,1
generated,1
rm5,1
95,1
revenues,1
rm659,1
618,1
ended,1
dec,1
31,1
worth,1
noting,1
population,1
30,1
109,1
service,2
licence,1
holders,1
operating,1
october,1
prompted,1
malaysian,2
communications,1
multimedia,1
mcmc,1
halt,1
issue,1
licences,1
two,1
period,2
september,1
acknowledging,1
indeed,1
players,1
believes,1
serve,1
distinct,1
segments,1
mutually,1
exclusive,1
others,1
fills,1
niche,1
space,1
specialisation,1
inbound,1
outbound,1
shipping,2
instance,1
next,1
day,1
major,1
cities,1
europe,1
fact,1
represent,1
four,1
units,2
larger,1
family,1
dedicated,1
forwarding,1
him,1
prolonged,1
restricted,1
living,1
conditions,1
skewed,1
behaviour,1
towards,1
compared,1
brick,1
mortar,1
businesses,2
greater,1
orders,1
speed,1
soon,1
eclipse,1
capability,1
retailers,1
presenting,1
providers,1
include,2
their,1
portfolio,1
result,1
higher,1
concentration,1
activity,1
catering,1
pharmaceuticals,1
non,1
perishable,1
foodstuff,1
sectors,1
remained,1
relatively,1
profitable,1
throughout,1
diversity,1
reflects,1
untapped,1
still,1
huge,1
opportunities,1
enhance,1
offerings,1
meeting,1
rapid,1
demands,1
here,1
always,1
finding,1
growth,1
expansion,2
internally,1
remains,1
modus,1
operandi,1
investments,1
order,1
eight,1
additional,1
boeing,1
777,1
freighters,1
first,1
deliveries,1
scheduled,1
2022,1
investment,1
marks,1
step,1
intercontinental,1
air,1
meet,1
fast,1
markets,1
announced,1
media,1
statement,1
wednesday,1
save,1
subscribing,1
your,1
print,1
copy,1
p,1
available,1
apple's,1
appstore,1
androids',1
google,1
play,1
